index,value
1238,0.85546875
1239,0.859375
1240,0.8359375
1241,0.88671875
1242,0.8671875
1243,0.8515625
1244,0.87890625
1245,0.90234375
1246,0.875
1247,0.92578125
1248,0.83984375
1249,0.85546875
1250,0.9453125
1251,0.8671875
1252,0.83984375
1253,1.0546875
1254,0.88671875
1255,0.8671875
1256,0.859375
1257,0.9609375
1258,0.97265625
1259,0.91796875
1260,0.84765625
1261,0.89453125
1262,0.8515625
1263,0.9140625
1264,0.8515625
1265,0.98828125
1266,0.8359375
1267,0.8359375
1268,0.8828125
1269,0.875
1270,0.828125
1271,0.8828125
1272,0.859375
1273,0.84765625
1274,0.92578125
1275,0.84765625
1276,0.85546875
1277,0.88671875
1278,0.84765625
1279,0.875
1280,0.859375
1281,0.859375
1282,0.85546875
1283,0.87890625
1284,0.859375
1285,0.82421875
1286,0.9453125
1287,0.8359375
1288,0.8515625
1289,1.0078125
1290,0.92578125
1291,0.8984375
1292,1.03125
1293,0.84765625
1294,0.93359375
1295,0.921875
1296,1.1953125
1297,0.91796875
1298,0.94140625
1299,1.0546875
1300,0.87890625
1301,0.8828125
1302,0.82421875
1303,0.87109375
1304,0.83984375
1305,0.94140625
1306,2.40625
1307,0.94921875
1308,0.89453125
1309,0.93359375
1310,0.87890625
1311,0.85546875
1312,0.81640625
1313,0.8671875
1314,0.80859375
1315,0.84375
1316,0.84765625
1317,0.88671875
1318,0.84375
1319,0.80859375
1320,0.859375
1321,0.8515625
1322,0.87109375
1323,0.89453125
1324,0.84765625
1325,0.875
1326,0.86328125
1327,0.95703125
1328,0.8515625
1329,0.9375
1330,0.84375
1331,0.84375
1332,0.84765625
1333,0.875
1334,1.0390625
1335,0.8671875
1336,0.86328125
1337,0.87109375
1338,0.8671875
1339,1.1484375
1340,1.1953125
1341,0.8671875
1342,0.87109375
1343,0.80078125
1344,0.8359375
1345,0.8515625
1346,0.90625
1347,0.83203125
1348,0.83203125
1349,0.8671875
1350,0.83984375
1351,0.87109375
1352,0.85546875
1353,0.88671875
1354,0.921875
1355,0.85546875
1356,0.8671875
1357,0.86328125
1358,0.984375
1359,1.1640625
1360,0.88671875
1361,0.8515625
1362,0.86328125
1363,0.81640625
1364,0.80859375
1365,0.90234375
1366,0.8984375
1367,0.84375
1368,0.84375
1369,0.83203125
1370,0.8515625
1371,0.83984375
1372,0.87890625
1373,0.83203125
1374,0.8828125
1375,0.86328125
1376,0.63671875
1377,0.84765625
1378,0.89453125
1379,0.83984375
1380,0.890625
1381,0.85546875
1382,0.8203125
1383,0.8828125
1384,0.84765625
1385,0.95703125
1386,0.828125
1387,0.875
1388,1.265625
1389,0.89453125
1390,0.84375
1391,0.78125
1392,0.890625
1393,1.3359375
1394,0.8359375
1395,0.87890625
1396,1.0234375
1397,0.9375
1398,0.859375
1399,0.86328125
1400,0.94140625
1401,0.8515625
1402,1.1484375
1403,0.85546875
1404,1.0546875
1405,0.8828125
1406,0.83203125
1407,0.8359375
1408,1.203125
1409,0.890625
1410,0.87890625
1411,0.8359375
1412,0.93359375
1413,0.87109375
1414,0.859375
1415,0.8515625
1416,0.83203125
1417,0.81640625
1418,0.83984375
1419,0.89453125
1420,0.89453125
1421,0.84375
1422,0.89453125
1423,1.15625
1424,0.95703125
1425,0.83984375
1426,0.96875
1427,0.84765625
1428,1.0703125
1429,0.87109375
1430,0.90234375
1431,0.8671875
1432,0.8359375
1433,0.9296875
1434,0.86328125
1435,0.91015625
1436,0.91796875
1437,0.8828125
1438,0.86328125
1439,0.8671875
1440,0.8515625
1441,0.8828125
1442,0.94921875
1443,0.875
1444,0.921875
1445,0.8828125
1446,0.890625
1447,0.8515625
1448,0.91796875
1449,0.86328125
1450,0.91015625
1451,0.859375
1452,0.94140625
1453,0.8984375
1454,0.96875
1455,0.9375
1456,0.89453125
1457,1.109375
1458,0.828125
1459,0.90234375
1460,0.9296875
1461,0.83203125
1462,0.86328125
1463,0.953125
1464,0.90625
1465,0.890625
1466,0.828125
1467,1.0
1468,0.85546875
1469,0.87890625
1470,0.88671875
1471,0.81640625
1472,0.85546875
1473,0.87890625
1474,0.953125
1475,0.87890625
1476,0.9765625
1477,0.85546875
1478,0.8671875
1479,0.859375
1480,0.828125
1481,0.8359375
1482,0.8515625
1483,0.86328125
1484,0.87890625
1485,1.0390625
1486,0.84765625
1487,0.95703125
1488,0.8515625
1489,0.83984375
1490,1.078125
1491,1.3046875
1492,0.89453125
1493,0.859375
1494,0.93359375
1495,0.83984375
1496,0.84765625
1497,0.85546875
1498,0.83203125
1499,0.88671875
1500,0.89453125
1501,0.8515625
1502,0.859375
1503,0.85546875
1504,0.90234375
1505,0.8359375
1506,1.125
1507,0.93359375
1508,0.8671875
1509,0.8515625
1510,0.859375
1511,0.859375
1512,0.83203125
1513,0.80078125
1514,0.828125
1515,0.9296875
1516,0.89453125
1517,0.83203125
1518,0.84765625
1519,0.86328125
1520,0.8515625
1521,0.90625
1522,0.84375
1523,0.9375
1524,0.8515625
1525,0.859375
1526,0.85546875
1527,0.88671875
1528,1.296875
1529,0.88671875
1530,0.9296875
1531,0.92578125
1532,1.046875
1533,0.86328125
1534,0.86328125
1535,0.84765625
1536,0.8671875
1537,0.8359375
1538,0.84375
1539,0.98828125
1540,0.83984375
1541,0.984375
1542,1.046875
1543,0.88671875
1544,0.95703125
1545,0.86328125
1546,0.87890625
1547,0.8515625
1548,0.828125
1549,0.8359375
1550,0.83984375
1551,0.9765625
1552,0.859375
1553,1.1171875
1554,0.84375
1555,0.94140625
1556,0.921875
1557,0.8828125
1558,0.84375
1559,0.9296875
1560,0.953125
1561,0.8515625
1562,0.92578125
1563,0.85546875
1564,0.8671875
1565,0.92578125
1566,0.89453125
1567,0.828125
1568,0.86328125
1569,0.8359375
1570,1.1484375
1571,0.83984375
1572,0.8359375
1573,0.91015625
1574,1.0390625
1575,0.85546875
1576,0.83984375
1577,1.1953125
1578,0.8515625
1579,0.92578125
1580,0.8984375
1581,1.0390625
1582,0.90625
1583,0.85546875
1584,0.85546875
1585,1.2578125
1586,0.84765625
1587,0.875
1588,0.76171875
1589,0.8515625
1590,0.9140625
1591,0.8515625
1592,0.81640625
1593,0.8203125
1594,0.86328125
1595,0.94140625
1596,0.8671875
1597,0.82421875
1598,0.8359375
1599,3.4375
1600,0.90625
1601,0.94140625
1602,0.83203125
1603,0.8671875
1604,0.91015625
1605,0.9765625
1606,0.8984375
1607,0.85546875
1608,1.0234375
1609,0.87109375
1610,1.5390625
1611,0.94140625
1612,0.8671875
1613,0.8984375
1614,0.93359375
1615,1.0234375
1616,0.86328125
1617,0.8515625
1618,0.86328125
1619,0.95703125
1620,0.83203125
1621,1.1875
1622,0.9375
1623,0.890625
1624,0.87890625
1625,0.9453125
1626,0.88671875
1627,0.86328125
1628,1.0078125
1629,0.8828125
1630,0.84765625
1631,0.859375
1632,0.8671875
1633,0.9453125
1634,1.0390625
1635,0.81640625
1636,0.86328125
1637,0.84765625
1638,0.859375
1639,0.88671875
1640,1.1328125
1641,0.90234375
1642,0.83203125
1643,0.828125
1644,0.9921875
1645,0.8515625
1646,0.98828125
1647,0.8671875
1648,0.84765625
1649,0.84765625
1650,0.85546875
1651,0.859375
1652,0.8828125
