flat_index,float32_value,bf16_hex,stored_low_byte,stored_high_byte
258,-0.004302978515625,0xbb8d,141,187
259,-0.005340576171875,0xbbaf,175,187
260,0.00811767578125,0x3c05,5,60
261,0.01251220703125,0x3c4d,77,60
262,-0.025390625,0xbcd0,208,188
263,0.0289306640625,0x3ced,237,60
264,0.0216064453125,0x3cb1,177,60
265,0.000492095947265625,0x3a01,1,58
266,0.019775390625,0x3ca2,162,60
267,0.0198974609375,0x3ca3,163,60
268,0.01373291015625,0x3c61,97,60
269,-0.000896453857421875,0xba6b,107,186
270,-0.01708984375,0xbc8c,140,188
271,0.018310546875,0x3c96,150,60
272,0.003509521484375,0x3b66,102,59
273,0.016845703125,0x3c8a,138,60
274,0.007598876953125,0x3bf9,249,59
275,-0.01531982421875,0xbc7b,123,188
276,0.01904296875,0x3c9c,156,60
277,-0.01171875,0xbc40,64,188
278,-0.0022125244140625,0xbb11,17,187
279,-0.0262451171875,0xbcd7,215,188
280,-0.0302734375,0xbcf8,248,188
281,0.0230712890625,0x3cbd,189,60
282,0.00823974609375,0x3c07,7,60
283,-0.034912109375,0xbd0f,15,189
284,0.02685546875,0x3cdc,220,60
285,-0.01165771484375,0xbc3f,63,188
286,0.0198974609375,0x3ca3,163,60
287,0.0025177001953125,0x3b25,37,59
288,-0.0284423828125,0xbce9,233,188
289,0.04248046875,0x3d2e,46,61
290,0.01141357421875,0x3c3b,59,60
291,-0.01336669921875,0xbc5b,91,188
292,0.00193023681640625,0x3afd,253,58
293,-0.0032806396484375,0xbb57,87,187
294,-0.016845703125,0xbc8a,138,188
295,0.01373291015625,0x3c61,97,60
296,0.02001953125,0x3ca4,164,60
297,0.005706787109375,0x3bbb,187,59
298,-0.01806640625,0xbc94,148,188
299,-6.4849853515625e-05,0xb888,136,184
300,0.0022735595703125,0x3b15,21,59
301,-0.0135498046875,0xbc5e,94,188
302,0.01019287109375,0x3c27,39,60
303,0.02294921875,0x3cbc,188,60
304,0.0303955078125,0x3cf9,249,60
305,0.016845703125,0x3c8a,138,60
306,0.00457763671875,0x3b96,150,59
307,-0.0233154296875,0xbcbf,191,188
308,0.00994873046875,0x3c23,35,60
309,-0.005279541015625,0xbbad,173,187
310,-0.006561279296875,0xbbd7,215,187
311,-0.02392578125,0xbcc4,196,188
312,-0.044677734375,0xbd37,55,189
313,0.000347137451171875,0x39b6,182,57
314,-0.01434326171875,0xbc6b,107,188
315,0.00714111328125,0x3bea,234,59
316,-0.005035400390625,0xbba5,165,187
317,0.003936767578125,0x3b81,129,59
318,0.02587890625,0x3cd4,212,60
319,-0.0213623046875,0xbcaf,175,188
320,0.0101318359375,0x3c26,38,60
321,0.0157470703125,0x3c81,129,60
322,0.006500244140625,0x3bd5,213,59
323,0.030517578125,0x3cfa,250,60
324,0.033203125,0x3d08,8,61
325,-0.00537109375,0xbbb0,176,187
326,0.0303955078125,0x3cf9,249,60
327,0.01251220703125,0x3c4d,77,60
328,0.00063323974609375,0x3a26,38,58
329,0.00165557861328125,0x3ad9,217,58
330,-0.01214599609375,0xbc47,71,188
331,0.0033416748046875,0x3b5b,91,59
332,0.000759124755859375,0x3a47,71,58
333,0.0216064453125,0x3cb1,177,60
334,0.0106201171875,0x3c2e,46,60
335,0.0260009765625,0x3cd5,213,60
336,-0.01806640625,0xbc94,148,188
337,-0.01123046875,0xbc38,56,188
338,-0.004364013671875,0xbb8f,143,187
339,0.017333984375,0x3c8e,142,60
340,-0.01483154296875,0xbc73,115,188
341,0.0072021484375,0x3bec,236,59
342,-0.027099609375,0xbcde,222,188
343,-0.0001544952392578125,0xb922,34,185
344,-0.005157470703125,0xbba9,169,187
345,-0.02978515625,0xbcf4,244,188
346,0.007781982421875,0x3bff,255,59
347,0.0096435546875,0x3c1e,30,60
348,-0.000518798828125,0xba08,8,186
349,-0.0096435546875,0xbc1e,30,188
350,0.000705718994140625,0x3a39,57,58
351,0.0308837890625,0x3cfd,253,60
352,-0.041748046875,0xbd2b,43,189
353,0.03271484375,0x3d06,6,61
354,-0.00506591796875,0xbba6,166,187
355,-0.017333984375,0xbc8e,142,188
356,0.004913330078125,0x3ba1,161,59
357,0.0196533203125,0x3ca1,161,60
